Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Variance,Fwd Header Length,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Active Std,Idle Std,Fwd Push Flags Count,Fwd URG Flags Count,Label
28.3581850529,218.7728159765,2.3273703827,66,68,101,94.0000000000,13.4907375632,182.0000000000,0,0.4296694705,0.8165816177,28.3581850529,0.2456871721,2.2134582530,66,0,benign
35.2373659611,198.1703174895,2.1568013933,76,68,101,91.8815789474,14.7567710643,217.7622922438,0,0.4636495521,0.8406988802,35.2373659611,0.2528623251,1.9180814687,76,0,benign
28.7585661411,237.0771882903,2.6426908639,76,68,101,89.7105263158,15.6556831698,245.1004155125,0,0.3784021861,0.4285219770,28.7585661411,0.2313027284,0.4461789724,76,0,benign
35.2999980450,68.8385307247,0.7648725636,27,68,101,90.0000000000,15.5563491861,242.0000000000,0,1.3074073350,1.8923115166,35.2999980450,0.2567883161,2.4788871897,27,0,benign
34.9434001446,233.7494338331,2.6042113711,91,68,101,89.7582417582,15.6397216603,244.6008936119,0,0.3839934082,0.4829492233,34.9434001446,0.2282377624,0.6557847405,91,0,benign
34.2668080330,114.2213186659,1.2548586363,43,68,101,91.0232558140,15.1557623888,229.6971335857,0,0.7969025124,1.1730432886,34.2668080330,0.2759829826,1.9612246792,43,0,benign
34.7698709965,162.0655998572,1.7831530064,62,68,101,90.8870967742,15.2136450201,231.4549947971,0,0.5608043709,0.5940216689,34.7698709965,0.2541326966,0.6209518728,62,0,benign
35.1543800831,158.3586451203,1.7352034044,61,68,101,91.2622950820,15.0506267386,226.5213652244,0,0.5763013128,0.9414281370,35.1543800831,0.2739702391,1.5890777713,61,0,benign
35.1345951557,106.5900996839,1.1669410112,41,68,101,91.3414634146,15.0148053050,225.4443783462,0,0.8569413453,1.4725462672,35.1345951557,0.2755739699,2.4118351974,41,0,benign
35.2344319820,192.4537907538,2.1002183330,74,68,101,91.6351351351,14.8774946346,221.3398466034,0,0.4761409727,0.5059143553,35.2344319820,0.2515131538,0.5661424581,74,0,benign
33.8034231663,224.6222213251,2.4849554315,84,68,101,90.3928571429,15.4118212647,237.5242346939,0,0.4024217044,0.5216026249,33.8034231663,0.2617631779,0.6515479441,84,0,benign
10.5346109867,250.0329630893,2.8477558438,30,68,101,87.8000000000,16.1666323024,261.3600000000,0,0.3511536996,0.3940923134,10.5346109867,0.2352652264,0.0327339172,30,0,benign
35.1869430542,206.0707572360,2.2167313563,78,68,101,92.9615384615,14.1651814977,200.6523668639,0,0.4511146545,0.4225809214,35.1869430542,0.2757656488,0.2459527547,78,0,benign
29.2282118797,70.4456368550,0.7869109508,23,68,101,89.5217391304,15.7172559980,247.0321361059,0,1.2707918209,1.8170164421,29.2282118797,0.2274438919,2.1887286884,23,0,benign
29.0710291862,239.1384204343,2.6486850365,77,68,101,90.2857142857,15.4523626091,238.7755102041,0,0.3775458336,0.4497356494,29.0710291862,0.2091449327,0.4656251825,77,0,benign
35.1602702141,155.3457913362,1.6495891427,58,68,101,94.1724137931,13.3676629003,178.6944114150,0,0.6062115554,1.0118127555,35.1602702141,0.2038695817,1.6051919038,58,0,benign
28.9547328949,164.2909301656,1.7959067414,52,68,101,91.4807692308,14.9505471788,223.5188609467,0,0.5568217864,1.4243586356,28.9547328949,0.2270785507,3.6846674120,52,0,benign
33.9101200104,198.0234808354,2.1822394016,74,68,101,90.7432432432,15.2732417582,233.2719138057,0,0.4582448650,0.4249910896,33.9101200104,0.2808097596,0.2982222183,74,0,benign
34.3009858131,98.4228272153,1.1078398798,38,68,101,88.8421052632,15.9184208351,253.3961218837,0,0.9026575214,1.4827866520,34.3009858131,0.2550031698,2.2308936183,38,0,benign
35.2565860748,64.1298620122,0.7090873730,25,68,101,90.4400000000,15.3937130024,236.9664000000,0,1.4102634430,4.6728552340,35.2565860748,0.2579009683,9.9053117882,25,0,benign
28.4338281155,253.8525579704,2.7432113496,78,68,101,92.5384615385,14.4094807712,207.6331360947,0,0.3645362579,0.4013465631,28.4338281155,0.2375441887,0.3376607179,78,0,benign
34.2595469952,80.7366192084,0.8756683211,30,68,101,92.2000000000,14.5931490776,212.9600000000,0,1.1419848998,1.3456502016,34.2595469952,0.3080295383,1.6638258431,30,0,benign
34.9454739094,78.2075529176,0.8584802735,30,68,101,91.1000000000,15.1224997934,228.6900000000,0,1.1648491303,1.5492367863,34.9454739094,0.2919136776,1.8861723831,30,0,benign
27.9785530567,164.1257141029,1.8585664489,52,68,101,88.3076923077,16.0546404285,257.7514792899,0,0.5380490972,0.9420492859,27.9785530567,0.2257983539,1.7647787854,52,0,benign
35.0912730694,178.9618742980,2.0232950757,71,68,101,88.4507042254,16.0200479439,256.6419361238,0,0.4942432827,0.5942206944,35.0912730694,0.2439336368,0.5875293955,71,0,benign
