Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Bwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Active Std,Idle Std,Fwd Push Flags Count,Bwd Push Flags Count,Label
57.0084729195,62.8327653165,0.7367325917,42,0,68,101,85.2857142857,0,0,0,1.3573445933,1.7754283501,0,0.2855152528,2.1499375341,42,0,benign
0.1902887821,956.4410364741,10.5103410602,2,0,91,91,91.0,0,0,0,0.0951443911,0.0951443911,0,0.0951443911,0.0,2,0,benign
61.1726210117,60.7134358243,0.6865816652,42,0,68,101,88.4285714286,0,0,0,1.4564909765,1.6679921718,0,0.1905312389,1.7918314001,42,0,benign
85.2671341896,57.3609051891,0.6215759507,53,0,68,101,92.2830188679,0,0,0,1.6088138526,2.0653423139,0,0.2458509837,2.3954348192,53,0,benign
85.4674899578,56.454214373,0.6201188315,53,0,68,101,91.0377358491,0,0,0,1.6125941501,1.571300743,0,0.3048098001,1.4317392652,53,0,benign
53.6572868824,73.5221668708,0.7827455028,42,0,68,101,93.9285714286,0,0,0,1.2775544496,1.2169027027,0,0.2754826939,0.941216514,42,0,benign
90.8095829487,41.5594905015,0.4294700926,39,0,68,101,96.7692307692,0,0,0,2.3284508448,4.5930058792,0,0.2189837558,6.2115665428,39,0,benign
85.0865190029,65.4510263819,0.7286700728,62,0,68,101,89.8225806452,0,0,0,1.3723632097,1.6800337927,0,0.2444113927,1.9476100311,62,0,benign
85.5039279461,87.2123676552,0.9590202692,82,0,68,101,90.9390243902,0,0,0,1.0427308286,1.3495911715,0,0.279295046,1.450947945,82,0,benign
59.0064301491,62.3152424356,0.6778922212,40,0,68,101,91.925,0,0,0,1.4751607537,2.0272687108,0,0.3078062728,2.483298882,40,0,benign
84.3528599739,85.2253261149,0.9483970078,80,0,68,101,89.8625,0,0,0,1.0544107497,1.1604993906,0,0.2806581331,1.2597437278,80,0,benign
84.7244040966,56.9729589894,0.6373606351,54,0,68,101,89.3888888889,0,0,0,1.5689704462,2.0735865024,0,0.2833966447,2.359593811,54,0,benign
84.3743209839,50.7381860983,0.5333376254,45,0,68,101,95.1333333333,0,0,0,1.8749849108,2.0178170588,0,0.2363356377,2.0352848251,45,0,benign
92.2389101982,39.907236459,0.4553392913,42,0,68,101,87.6428571429,0,0,0,2.1961645285,3.4241350932,0,0.2872037109,4.228863541,42,0,benign
85.0087020397,63.546435487,0.7175735958,61,0,68,101,88.5573770492,0,0,0,1.3935852793,1.8954178226,0,0.297924428,2.2687923585,61,0,benign
85.3231709003,49.4004143953,0.5274065594,45,0,68,101,93.6666666667,0,0,0,1.8960704645,2.0880523801,0,0.2656446216,2.1331619865,45,0,benign
1e-10,910000000000.0,10000000000.0,1,0,91,91,91.0,0,0,0,0.0,0.0,0,0.0,0.0,1,0,benign
84.6794309616,71.7293436083,0.7912192989,67,0,68,101,90.6567164179,0,0,0,1.2638721039,1.3273246419,0,0.2921318728,1.2846941713,67,0,benign
85.3892829418,52.1376904293,0.5621314332,48,0,68,101,92.75,0,0,0,1.7789433946,1.986301404,0,0.2890464018,2.0515675902,48,0,benign
89.8001000881,34.95541761,0.3897545767,35,0,68,101,89.6857142857,0,0,0,2.5657171454,4.5355947292,0,0.2332840667,5.7765631476,35,0,benign
91.9182829857,39.6874254121,0.4569275952,42,0,68,101,86.8571428571,0,0,0,2.1885305473,4.1782400659,0,0.2681182715,5.4660182561,42,0,benign
61.6717469692,52.503782674,0.5675208133,35,0,68,101,92.5142857143,0,0,0,1.7620499134,1.9614892011,0,0.2883794491,1.9107900236,35,0,benign
60.1674058437,47.6503841207,0.5152291272,31,0,68,101,92.4838709677,0,0,0,1.9408840595,1.8456448545,0,0.3308134225,1.8281062425,31,0,benign
85.433560133,66.7536269251,0.7374151317,63,0,68,101,90.5238095238,0,0,0,1.3560882561,1.7122950234,0,0.3015341951,2.0026532673,63,0,benign
1e-10,910000000000.0,10000000000.0,1,0,91,91,91.0,0,0,0,0.0,0.0,0,0.0,0.0,1,0,benign
89.8977749348,36.0186890315,0.3893311044,35,0,68,101,92.5142857143,0,0,0,2.5685078553,4.4257274563,0,0.2501120334,5.3512909053,35,0,benign
84.4554979801,77.070174893,0.8288388758,70,0,68,101,92.9857142857,0,0,0,1.206507114,1.6671420851,0,0.2807163251,2.07359093,70,0,benign
85.0596060753,61.4745381653,0.6701183162,57,0,68,101,91.7368421053,0,0,0,1.4922737908,1.9058750761,0,0.2833400959,2.1900091978,57,0,benign
85.3831160069,47.3864177044,0.5036124472,43,0,68,101,94.0930232558,0,0,0,1.9856538606,2.3848160103,0,0.2925200463,2.601179095,43,0,benign
83.1250560284,50.3338006602,0.5533830857,46,0,68,101,90.9565217391,0,0,0,1.8070664354,2.2872567071,0,0.2635391524,2.6071873517,46,0,benign
59.7403781414,63.8261778487,0.7030420849,42,0,68,101,90.7857142857,0,0,0,1.4223899557,1.3377941982,0,0.216354674,1.2590231498,42,0,benign
86.1177220345,28.1707405013,0.2903002937,25,0,68,101,97.04,0,0,0,3.4447088814,4.6572291569,0,0.3412799755,5.0781024546,25,0,benign
61.0024411678,58.6533904464,0.6557114639,40,0,68,101,89.45,0,0,0,1.5250610292,1.730167585,0,0.272687922,1.7006952904,40,0,benign
1e-10,910000000000.0,10000000000.0,1,0,91,91,91.0,0,0,0,0.0,0.0,0,0.0,0.0,1,0,benign
85.3337831497,71.20274967,0.7968707995,68,0,68,101,89.3529411765,0,0,0,1.2549085757,1.5567917548,0,0.2731921294,1.8682174829,68,0,benign
1e-10,1230000000000.0,10000000000.0,1,0,123,123,123.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
84.6111519337,57.0255798406,0.6263949703,53,0,68,101,91.0377358491,0,0,0,1.5964368289,1.8849806177,0,0.3274581896,2.0595609626,53,0,benign
85.0149381161,64.3651588916,0.7410462372,63,0,68,101,86.8571428571,0,0,0,1.3494434622,1.4482197908,0,0.3295292574,1.4840645237,63,0,benign
91.2657780647,41.3955820036,0.4492373907,41,0,68,101,92.1463414634,0,0,0,2.2259945869,3.9560378134,0,0.2524423208,5.1061524687,41,0,benign
61.2352330685,58.9693191167,0.6532187108,40,0,68,101,90.275,0,0,0,1.5308808267,1.2658473944,0,0.293243627,1.0984353901,40,0,benign
90.0172419548,38.6259334822,0.4332503324,39,0,68,101,89.1538461538,0,0,0,2.3081344091,3.6745641996,0,0.2507663044,4.5098625711,39,0,benign
61.5776450634,62.4577311464,0.6820657067,42,0,68,101,91.5714285714,0,0,0,1.4661344063,1.5595747466,0,0.2174802879,1.4946500489,42,0,benign
61.7201960087,72.1319809058,0.7777032982,48,0,68,101,92.75,0,0,0,1.2858374168,1.6328633324,0,0.2881112588,1.8875667317,48,0,benign
84.6025691032,71.3808110559,0.7801181536,66,0,68,101,91.5,0,0,0,1.2818571076,1.4933342971,0,0.3152227149,1.6870191706,66,0,benign
63.5583341122,21.4763338131,0.2360036683,15,0,91,91,91.0,0,0,0,4.2372222741,13.2364634213,0,0.2860355673,22.5318483705,15,0,benign
85.0848748684,66.1809752757,0.7051782128,60,0,68,101,93.85,0,0,0,1.4180812478,1.4365196184,0,0.2797863814,1.3859316715,60,0,benign
83.6819012165,51.2536156283,0.5855507498,49,0,68,101,87.5306122449,0,0,0,1.7077939024,2.1370761498,0,0.2560595131,2.39867088,49,0,benign
89.1304130554,41.6019613608,0.4375610823,39,0,68,101,95.0769230769,0,0,0,2.2853952065,4.1059789914,0,0.3141772651,5.28532251,39,0,benign
84.7043311596,86.040464522,0.9444617401,80,0,68,101,91.1,0,0,0,1.0588041395,1.3734200331,0,0.2529274779,1.6189690955,80,0,benign
59.7958319187,84.6212827489,0.9197965516,55,0,68,101,92.0,0,0,0,1.087196944,1.3658289961,0,0.2899091089,1.6129994369,55,0,benign
90.2874159813,48.6225012898,0.5537870306,50,0,68,101,87.8,0,0,0,1.8057483196,3.4838911491,0,0.3115605087,4.7029813305,50,0,benign
91.765996933,47.032671624,0.5012749988,46,0,68,101,93.8260869565,0,0,0,1.9949129768,4.0521758959,0,0.2694991069,5.3890110985,46,0,benign
1e-10,770000000000.0,10000000000.0,1,0,77,77,77.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
85.1106901169,99.5057141279,1.0926947,93,0,68,101,91.064516129,0,0,0,0.9151687109,1.0064286665,0,0.2667366562,1.0777031673,93,0,benign
64.0319058895,21.3174975981,0.2342582154,15,0,91,91,91.0,0,0,0,4.268793726,13.0992255206,0,0.2879924266,22.0742556086,15,0,benign
83.8831059933,67.1291308699,0.7152810961,60,0,68,101,93.85,0,0,0,1.3980517666,1.6875735256,0,0.2543823038,1.7436871968,60,0,benign
84.4226911068,81.5183679859,0.8883867479,75,0,68,101,91.76,0,0,0,1.1256358814,1.2972633736,0,0.2999392219,1.4415678247,75,0,benign
